"","Xbir_early","Xbir_late","Xcor_early","Xcor_late","Xmal_early","Xmal_late","origin","collection"
"MEmagenta",0.752571012502285,0.566809198255711,0.593647414595718,3.01964459042277e-06,0.666880905964165,0.472206185598211,0.403123976263843,0.0936491292895498
"MEgreenyellow",0.457036504783607,0.824954017105531,0.120039556207043,0.00818956431784886,0.00245956690561655,0.603170894016742,0.0931644894839159,0.28536421278842
"MEviolet",0.7709153985429,0.0998370379361998,0.0113484649690731,0.0897239276859972,0.000234414441984509,0.00227733758634196,0.637933250652197,0.301166055890911
"MEred",0.938262433232074,0.444224289302302,0.029399004515078,0.842950131911475,0.415618592987444,0.686295877213361,0.73461046607967,0.588393615929062
"MElightsteelblue1",0.590150356668275,0.977908415537476,0.00958474319558892,0.852879384958286,0.476531101816816,0.0842414130077651,0.285020002361237,0.0944062077565867
"MEpurple",0.778612525538109,0.701542637354788,0.0302943356017574,0.468007753524655,0.521445119908258,0.614980400328544,0.773807296206652,0.478820903366708
"MEskyblue3",0.987279165601313,0.325359304696329,0.0442750184411938,0.86892052223961,0.622611800817126,0.709173665317107,0.669823384815466,0.342070391198879
"MEdarkolivegreen",0.645946707489656,0.0196499542724918,0.000873343948869671,0.626894103262177,0.93418676976307,0.487390622177183,0.419253325829072,0.00187604198345094
"MElightcyan1",0.696748422745735,0.077119763068399,5.40068968885942e-06,0.299913126983803,0.684772210180499,0.0323305989843299,0.0200363850144453,0.791447889261539
"MEturquoise",0.226088493417676,0.0362549268945686,2.62347795939561e-06,0.0114130854652895,0.069328181386231,0.356215914310836,0.247729602013394,0.156168350170727
"MEdarkred",0.482133962202369,0.116314340151228,0.72131011474102,0.82521434786709,0.43448571007704,0.698925272450206,0.654138265039345,0.136518257179479
"MEgrey60",0.436232176460216,0.757412376818606,0.0541953060581698,0.774091079585958,0.236481087817602,0.336596054405794,0.553277677729514,0.913022522385806
"MEroyalblue",0.767574107895647,0.939509623433025,0.608245890369462,0.000406917430103627,0.486476839536434,0.520244043805802,0.593231147469076,0.0841398164208136
"MEpaleturquoise",0.889046765342947,0.617866806740392,0.0456488177347329,0.701109906906563,0.436730484580698,0.681088324633445,0.745155336036369,0.28674345651347
"MEorangered4",0.542918493348971,0.135498588778399,7.28777152776523e-05,0.847698857264854,0.611951900118855,0.348468698153566,0.344771437263314,0.30073268610984
"MEskyblue",0.872706591936304,0.294602840221917,0.0507514916728197,0.874624234163752,0.849626686661109,0.684394280957529,0.56685906389058,0.23623575820027
"MEsalmon",0.712171732254714,0.441706895822929,0.076432566454743,0.493606379550699,0.340493208740675,0.00531163587471162,3.39402464941227e-06,0.00483287893547937
"MEwhite",0.249154909016718,0.0561581376162744,0.160096971398518,0.68656607787038,0.520975364861667,0.546654216171795,0.000112497808893229,0.00227340367386438
"MEblack",0.000159224320107412,0.206427188458655,0.856434688423259,0.591597414214367,0.972458714113833,0.534180242538336,0.437329353451971,0.0941447144244198
"MEdarkorange",0.652240069804189,0.125962944361608,0.532815496236836,0.461641865599143,0.735711575893499,0.014452699459289,0.0570575526766596,0.69483115894504
"MEtan",0.955815153002517,0.0800989999498543,0.50140670902102,0.703384555383275,0.630054239766391,0.584526251404419,0.620782599822603,0.496388770441187
"MEgreen",0.713182574221683,0.669446708001675,0.589391666726144,0.766565054210001,0.516679696587,0.0262468390832839,0.0139484944195504,0.589331450525422
"MEmidnightblue",0.0220349778242456,9.10571235606795e-05,0.42294777660776,0.312004935029815,0.413428154026937,0.000339195008810331,0.891964579360083,0.124416179990183
"MEdarkorange2",0.431961687157337,0.240446542937362,0.00263624106670662,0.294147135600619,0.03869633549832,6.35805960453808e-06,0.049046659916435,0.804759065274286
"MElightyellow",0.312045656140057,0.0021803009085671,0.897434698044369,0.936580078497672,0.0457724850490017,0.0152873649919826,0.00818492314408081,0.0121776174415261
"MEsienna3",0.715960139444961,0.0834545795552918,0.644084536397946,0.664078375812921,0.649024429392117,0.596435841822214,0.0314646316323472,0.574439960102098
"MEbrown4",0.0851354284422345,0.677849431604099,0.944343152022503,0.163918042303602,0.321354825954596,0.0860284604691389,0.000661870857493472,0.63166662688001
"MEblue",0.660702135801513,0.324948679250659,0.0188304143323363,0.719863491659032,0.267265537293894,0.0151890516736489,8.87028717078059e-07,0.813562932397542
"MEpink",0.561338889491482,0.66452780700365,0.684698716345061,0.0698521886205865,0.742709211904744,0.569399818143794,0.011471747909638,0.174839427936457
"MEsteelblue",0.674381117149967,0.94976099679967,0.86262814085658,0.989373510358369,0.829553390940395,0.832531525367525,6.34467952361763e-05,3.7137968238667e-06
"MEdarkgreen",0.701907716407826,0.65925432580491,0.379601251431472,0.781705996658424,0.00989401540335504,0.754389370008152,0.710968103134439,0.579279433551091
"MEyellowgreen",0.796833561735818,0.0754493157872235,0.36225671521376,0.246737604588269,0.000996746269826768,0.2116992215287,0.00559608085099358,0.288503546416732
"MEbrown",0.280744876139726,0.392337518148754,0.382476902910661,0.163208717752433,0.189805308064791,0.29012486964016,7.31815258177383e-05,0.114971074683499
"MEdarkgrey",0.223740698631623,0.14321125596448,0.00025898564289625,0.0405209649466085,0.0971245624237891,0.427327732863102,0.409365133275508,0.541967318629887
"MEdarkturquoise",0.0685082060190012,0.494142600327714,0.0335206499941028,0.0395744054846182,0.00141993443479478,0.255235325450429,0.831048825227101,0.00342863418552892
"MEfloralwhite",0.569301138307578,0.287404276158619,0.000464452219875395,0.550749284206579,0.0855988924847185,0.561426340225152,0.120845261749272,0.250460433545312
"MElightcyan",0.145505142764465,0.621357622904729,0.861540329966105,0.915134634916088,0.612679744070777,0.972644077927175,0.961431002512853,0.539002042876091
"MEmediumpurple3",0.300911167322006,0.079390535073015,0.164759099113505,0.0185249608584257,0.13009992684854,0.999812202788238,0.491363946946825,0.00639693554962808
"MEdarkmagenta",0.909728702902528,0.000530154951639255,0.249116520916445,0.72958252398973,0.017620547398268,0.844595627187384,0.24873590725142,0.000229706165952369
"MEsaddlebrown",0.786849629767053,0.110189224011182,0.897638817223254,0.767102026773902,0.443017052874204,0.538280167715993,0.560580761666575,0.0848810050844073
"MElightgreen",0.808672824207564,0.515316769191158,0.642921208118433,0.700342943133846,0.615975297474238,0.0245975446878839,0.621656747003604,0.156659252194998
"MEplum1",0.866925455860802,0.20904117376763,0.0767888043556282,0.723542236578964,0.246591466459859,0.0657656430115272,0.493447110390393,2.67445690568039e-05
"MEyellow",0.150678141270477,0.712988617308809,0.125323126561424,0.782917116493844,0.272535180517591,4.19730074214164e-08,0.375372742083788,0.00220174768128199
"MEorange",0.940192779708065,0.154617061787324,0.4134976644047,0.735903245135565,0.593030468217133,0.91559220980185,0.751215912877559,0.280848271782976
"MEcyan",0.0895475487938054,1.09720811359203e-07,0.0566051860884727,0.552684554180313,0.0330437362745099,0.0808833422259214,0.215974659622724,0.988337584277925
"MEivory",0.994655264102906,0.0702706908577973,0.585143074585183,0.744471782034054,0.432289417257665,0.582982185087137,0.0244472095639526,0.505478852156177
